date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:08:14	31270/31270	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2001%20Dec%202015%2013:32:40%20GMT	http://geektyper.com/ASSETS/fonts/alien/alien.eot	C:/My%20Web%20Sites/adf/geektyper.com/ASSETS/fonts/alien/alien.eot	(from http://geektyper.com/ASSETS/style.css)
00:08:15	34616/34616	---M--	200	added ('OK')	application/x-font-woff	date:Tue,%2001%20Dec%202015%2013:32:40%20GMT	http://geektyper.com/ASSETS/fonts/alien/alien.woff	C:/My%20Web%20Sites/adf/geektyper.com/ASSETS/fonts/alien/alien.woff	(from http://geektyper.com/ASSETS/style.css)
00:08:16	110/110	---M--	200	added ('OK')	image/png	date:Tue,%2001%20Dec%202015%2019:02:36%20GMT	http://geektyper.com/ASSETS/textures/0.png	C:/My%20Web%20Sites/adf/geektyper.com/ASSETS/textures/0.png	(from http://geektyper.com/ASSETS/style.css)
00:08:16	85660/85660	---MCZ	200	added ('OK')	image/svg+xml	date:Tue,%2001%20Dec%202015%2013:32:40%20GMT	http://geektyper.com/ASSETS/fonts/alien/alien.svg	C:/My%20Web%20Sites/adf/geektyper.com/ASSETS/fonts/alien/alien.svg	(from http://geektyper.com/ASSETS/style.css)
00:08:16	96/96	---M--	200	added ('OK')	image/png	date:Sun,%2029%20Nov%202015%2019:39:41%20GMT	http://geektyper.com/ASSETS/logos/0.png	C:/My%20Web%20Sites/adf/geektyper.com/ASSETS/logos/0.png	(from http://geektyper.com/ASSETS/style.css)
00:08:17	1145/1145	---M--	200	added ('OK')	image/gif	date:Mon,%2027%20Oct%202014%2016:39:10%20GMT	http://geektyper.com/ASSETS/img/granted.gif	C:/My%20Web%20Sites/adf/geektyper.com/ASSETS/img/granted.gif	(from http://geektyper.com/ASSETS/windows.css)
00:08:17	1145/1145	---M--	200	added ('OK')	image/gif	date:Mon,%2027%20Oct%202014%2016:39:50%20GMT	http://geektyper.com/ASSETS/img/denied.gif	C:/My%20Web%20Sites/adf/geektyper.com/ASSETS/img/denied.gif	(from http://geektyper.com/ASSETS/windows.css)
00:08:18	4668/4668	---M--	200	added ('OK')	image/gif	date:Thu,%2020%20Nov%202014%2012:00:14%20GMT	http://geektyper.com/ASSETS/img/ani-system_failure.gif	C:/My%20Web%20Sites/adf/geektyper.com/ASSETS/img/ani-system_failure.gif	(from http://geektyper.com/ASSETS/windows.css)
00:08:18	58936/58936	---M--	200	added ('OK')	application/x-font-ttf	date:Tue,%2001%20Dec%202015%2013:32:40%20GMT	http://geektyper.com/ASSETS/fonts/alien/alien.ttf	C:/My%20Web%20Sites/adf/geektyper.com/ASSETS/fonts/alien/alien.ttf	(from http://geektyper.com/ASSETS/style.css)
00:08:26	103357/103357	---M--	200	added ('OK')	image/jpeg	date:Thu,%2020%20Nov%202014%2010:57:28%20GMT	http://geektyper.com/ASSETS/textures/cmb.jpg	C:/My%20Web%20Sites/adf/geektyper.com/ASSETS/textures/cmb.jpg	(from http://geektyper.com/combine/mod.css)
00:08:26	477237/477237	---M--	200	added ('OK')	image/gif	etag:%22accbd57179b8f979135a1b500f8e92c5%22	http://i.imgur.com/LlseBPd.gif	C:/My%20Web%20Sites/adf/i.imgur.com/LlseBPd.gif	(from http://geektyper.com/combine/)
